"PEs"  "walltime [s]"
    1      844.924630
    2      420.885374
    4      275.237827
    8      105.627226
   12       71.066300
   16       58.467193
   20       48.316546
   24       44.564559
   28       31.653274
   32       29.778472
   36       25.068575
   40       22.701561
   44       21.588881
   48       21.458289
   52       17.043765
   56       16.033985
   60       16.856031
   64       15.052249
   96       10.288567
  128        7.776771
  160        6.416780
  192        5.808295
  224        5.032984
  256        4.197339
