"nodes" "2038x64"
1 22.925205
2 16.800365
4 9.912256
8 5.379149
12 3.747464
16 2.972687
20 2.488865
24 2.148459
28 1.926617
32 2.157598
36 1.777045
40 1.748929
44 1.650286
48 1.727147
52 1.777114
56 1.743005
60 1.753189


"nodes" "4096x128"
1 283.885821
4 94.847202
8 51.903835
12 35.783788
16 27.334674
20 22.311243
24 18.902046
28 16.303532
32 14.489176
36 12.946555
40 11.828679
44 10.902610
48 9.974546
52 9.608314
56 8.855859
60 8.445736


"nodes" "8192x256"
28 115.282269
32 102.036873
36 93.294797
40 82.095480
44 75.107217
48 76.454596
52 72.030858
56 61.717022
60 58.876961
