# 2048x2028x32x32 Matrix.
#
# Intel compiler.
#
# Serial version: 61.502654(7641ab4b) 63.393484(53711ff5) 60.044135(0e5ae5f9)
#
#  P  "7641ab4b time [s]"   "53711ff5 time [s]"   "0e5ae5f9 time [s]"
   1            72.666956             72.642548             60.105417
   2            36.453994             36.451051             30.182464
   4            18.306557             18.295573             15.162408
   8             9.217116              9.189863              7.631845
  12             6.169236              6.183743              5.106180
  16             4.653483              4.663939              3.836267
  20             3.732468              3.722755              3.079174
  24             3.133355              3.351635              2.576567
  28             2.690514              3.330366              2.219927
  32             2.358936              2.374545              1.945337
  36             2.102841              2.132427              1.728787
  40             1.906165              1.913689              1.668855
  44             1.743829              1.744068              1.497370
  48             1.625342              1.615543              1.326368


# GNU compiler (4.6.3).
#
# Serial version: 22.347782(7641ab4b) 22.413312(53711ff5) 21.808423(0e5ae5f9)
#
#  P  "7641ab4b time [s]"   "53711ff5 time [s]"   "0e5ae5f9 time [s]"
   1            77.539708             77.523046             77.677665
   2            38.865251             38.869628             38.932311
   4            19.522164             19.515744             19.551769
   8            11.694749             11.197772             11.243264
  12             7.774965              7.754349              8.169792
  16             5.302762              5.785816              5.447132
  20             4.312092              4.571631              4.556156
  24             3.701481              3.627890              3.737320
  28             3.211329              3.220101              3.215565
  32             2.670744              2.680754              2.790888
  36             2.510956              2.475221              2.545010
  40             2.246759              2.250895              2.222514
  44             1.988253              2.014179              2.090628
  48             2.697298              2.233648              2.039634


# 4096x4096x64x64 Matrix.
#
# GNU compiler (4.6.3)
#
#  P    time [s]
   1  604.056920
   2  302.492716
   4  151.785250
   8   86.958764
  12   59.349713
  16   44.635369
  20   35.443600
  24   28.903570
  28   23.952338
  32   22.183992
  36   19.451683
  40   17.965248
  44   15.740852
  48   15.047948
