# vim: tw=0
#
# Benchmark results on freeon-10.
#
  PEs   "Full - 2048x128"   "Full - 1024x64"   "Full cpuaffinity - 1024x64" "Charm cpuaffinity - 1024x64"
    1           40.368775          22.848918                       3.197707                      0.371398
    2           39.125310          22.048844                       3.021519                      0.294718
    4           14.340555          13.129289                       0.988416                             -
    8            6.241350           7.724414                              -                             -
    12           7.937788           6.338835                              -                             -
    16           3.959266           5.711223                              -                             -
    20           8.448064           6.808867                              -                             -
    24           5.647870           5.143214                              -                             -
    28           5.996969           2.696217                              -                             -
    32           3.885986           3.548020                              -                             -
    36           6.480062           3.432872                              -                             -
    40           4.811304           4.591380                              -                             -
    44           7.997293           3.894088                              -                             -
    48          40.446145           3.689331                              -                             -
